UR #	ILLOC	SR	
0:	Q  	Aux S Never Verb                                  	(CP[ILLOC DEC][+FIN]"Adv[+NULL][+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"Aux[+FIN]")(IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]")(NegP[SLASH Adv]"Never"(Negbar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"Adv[+NULL][SLASH Adv]"))))))))        132	
1:	Q  	Aux S Never Verb O1                               	(CP[ILLOC DEC][+FIN]"Adv[+NULL][+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"Aux[+FIN]")(IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]")(NegP[SLASH Adv]"Never"(Negbar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1""Adv[+NULL][SLASH Adv]"))))))))        132	
2:	Q  	Aux S Never Verb O1 O2                            	(CP[ILLOC DEC][+FIN]"Adv[+NULL][+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"Aux[+FIN]")(IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]")(NegP[SLASH Adv]"Never"(Negbar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1""O2""Adv[+NULL][SLASH Adv]"))))))))        132	
3:	Q  	Aux S Never Verb O1 O2 P O3                       	(CP[ILLOC DEC][+FIN]"Adv[+NULL][+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"Aux[+FIN]")(IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]")(NegP[SLASH Adv]"Never"(Negbar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1""O2"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))        132	
4:	Q  	Aux S Never Verb O1 P O3                          	(CP[ILLOC DEC][+FIN]"Adv[+NULL][+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"Aux[+FIN]")(IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]")(NegP[SLASH Adv]"Never"(Negbar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))        132	
5:	Q  	Aux S Never Verb P O3                             	(CP[ILLOC DEC][+FIN]"Adv[+NULL][+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"Aux[+FIN]")(IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]")(NegP[SLASH Adv]"Never"(Negbar[SLASH Adv](VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))        132	
6:	Q  	Aux S Not Verb                                    	(CP[ILLOC DEC][+FIN]"Adv[+NULL][+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"Aux[+FIN]")(IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]")(NegP[SLASH Adv](NegBar[SLASH Adv](Neg"Not")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"Adv[+NULL][SLASH Adv]"))))))))        132	
7:	Q  	Aux S Not Verb O1                                 	(CP[ILLOC DEC][+FIN]"Adv[+NULL][+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"Aux[+FIN]")(IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]")(NegP[SLASH Adv](NegBar[SLASH Adv](Neg"Not")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1""Adv[+NULL][SLASH Adv]"))))))))        132	
8:	Q  	Aux S Not Verb O1 O2                              	(CP[ILLOC DEC][+FIN]"Adv[+NULL][+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"Aux[+FIN]")(IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]")(NegP[SLASH Adv](NegBar[SLASH Adv](Neg"Not")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1""O2""Adv[+NULL][SLASH Adv]"))))))))        132	
9:	Q  	Aux S Not Verb O1 O2 P O3                         	(CP[ILLOC DEC][+FIN]"Adv[+NULL][+TOPIC]"(Cbar[ILLOC DEC][+FIN][SLASH Adv](C[ILLOC DEC][+FIN]"Aux[+FIN]")(IP[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux]"S"(Ibar[ILLOC DEC][+FIN][SLASH Adv][SLASH Aux](I[ILLOC DEC][+FIN][SLASH Aux]"Aux[+FIN][+NULL][SLASH Aux]")(NegP[SLASH Adv](NegBar[SLASH Adv](Neg"Not")(VP[SLASH Adv](Vbar[SLASH Adv](V"Verb")"O1""O2"(PP"P""O3")"Adv[+NULL][SLASH Adv]"))))))))        132	
