UR #	ILLOC	SR	
1008	DEC	Adv Aux Never Verb S                              	
1010	DEC	Adv Aux Never Verb O1 S                           	
1012	DEC	Adv Aux Never Verb O1 O2 S                        	
1014	DEC	Adv Aux Never Verb O1 O2 P O3 S                   	
1016	DEC	Adv Aux Never Verb O1 P O3 S                      	
1018	DEC	Adv Aux Never Verb P O3 S                         	
1020	DEC	Adv Aux Not Verb S                                	
1022	DEC	Adv Aux Not Verb O1 S                             	
1024	DEC	Adv Aux Not Verb O1 O2 S                          	
1026	DEC	Adv Aux Not Verb O1 O2 P O3 S                     	
1028	DEC	Adv Aux Not Verb O1 P O3 S                        	
1030	DEC	Adv Aux Not Verb P O3 S                           	
1032	DEC	Adv Aux Verb S                                    	
1034	DEC	Adv Aux Verb O1 S                                 	
1036	DEC	Adv Aux Verb O1 O2 S                              	
1038	DEC	Adv Aux Verb O1 O2 P O3 S                         	
1040	DEC	Adv Aux Verb O1 P O3 S                            	
1042	DEC	Adv Aux Verb P O3 S                               	
4704	DEC	O1 Aux Never Verb Adv S                           	
4706	DEC	O1 Aux Never Verb O2 Adv S                        	
4708	DEC	O1 Aux Never Verb O2 P O3 Adv S                   	
4710	DEC	O1 Aux Never Verb O2 P O3 S                       	
4712	DEC	O1 Aux Never Verb O2 S                            	
4714	DEC	O1 Aux Never Verb P O3 Adv S                      	
4716	DEC	O1 Aux Never Verb P O3 S                          	
4718	DEC	O1 Aux Never Verb S                               	
4720	DEC	O1 Aux Not Verb Adv S                             	
4722	DEC	O1 Aux Not Verb O2 Adv S                          	
4724	DEC	O1 Aux Not Verb O2 P O3 Adv S                     	
4726	DEC	O1 Aux Not Verb O2 P O3 S                         	
4728	DEC	O1 Aux Not Verb O2 S                              	
4730	DEC	O1 Aux Not Verb P O3 Adv S                        	
4732	DEC	O1 Aux Not Verb P O3 S                            	
4734	DEC	O1 Aux Not Verb S                                 	
4736	DEC	O1 Aux Verb Adv S                                 	
4738	DEC	O1 Aux Verb O2 Adv S                              	
4740	DEC	O1 Aux Verb O2 P O3 Adv S                         	
4742	DEC	O1 Aux Verb O2 P O3 S                             	
4744	DEC	O1 Aux Verb O2 S                                  	
4746	DEC	O1 Aux Verb P O3 Adv S                            	
4748	DEC	O1 Aux Verb P O3 S                                	
4750	DEC	O1 Aux Verb S                                     	
8512	DEC	O2 Aux Never Verb O1 Adv S                        	
8514	DEC	O2 Aux Never Verb O1 P O3 Adv S                   	
8516	DEC	O2 Aux Never Verb O1 P O3 S                       	
8518	DEC	O2 Aux Never Verb O1 S                            	
8520	DEC	O2 Aux Not Verb O1 Adv S                          	
8522	DEC	O2 Aux Not Verb O1 P O3 Adv S                     	
8524	DEC	O2 Aux Not Verb O1 P O3 S                         	
8526	DEC	O2 Aux Not Verb O1 S                              	
8528	DEC	O2 Aux Verb O1 Adv S                              	
8530	DEC	O2 Aux Verb O1 P O3 Adv S                         	
8532	DEC	O2 Aux Verb O1 P O3 S                             	
8534	DEC	O2 Aux Verb O1 S                                  	
15787	DEC	S Aux Never Verb Adv                              	
15788	DEC	S Aux Never Verb O1 Adv                           	
15789	DEC	S Aux Never Verb O1 O2 Adv                        	
15790	DEC	S Aux Never Verb O1 O2 P O3 Adv                   	
15791	DEC	S Aux Never Verb O1 O2 P O3                       	
15792	DEC	S Aux Never Verb O1 O2                            	
15793	DEC	S Aux Never Verb O1 P O3 Adv                      	
15794	DEC	S Aux Never Verb O1 P O3                          	
15795	DEC	S Aux Never Verb O1                               	
15796	DEC	S Aux Never Verb P O3 Adv                         	
15797	DEC	S Aux Never Verb P O3                             	
15798	DEC	S Aux Never Verb                                  	
15799	DEC	S Aux Not Verb Adv                                	
15800	DEC	S Aux Not Verb O1 Adv                             	
15801	DEC	S Aux Not Verb O1 O2 Adv                          	
15802	DEC	S Aux Not Verb O1 O2 P O3 Adv                     	
15803	DEC	S Aux Not Verb O1 O2 P O3                         	
15804	DEC	S Aux Not Verb O1 O2                              	
15805	DEC	S Aux Not Verb O1 P O3 Adv                        	
15806	DEC	S Aux Not Verb O1 P O3                            	
15807	DEC	S Aux Not Verb O1                                 	
15808	DEC	S Aux Not Verb P O3 Adv                           	
15809	DEC	S Aux Not Verb P O3                               	
15810	DEC	S Aux Not Verb                                    	
15811	DEC	S Aux Verb Adv                                    	
15812	DEC	S Aux Verb O1 Adv                                 	
15813	DEC	S Aux Verb O1 O2 Adv                              	
15814	DEC	S Aux Verb O1 O2 P O3 Adv                         	
15815	DEC	S Aux Verb O1 O2 P O3                             	
15816	DEC	S Aux Verb O1 O2                                  	
15817	DEC	S Aux Verb O1 P O3 Adv                            	
15818	DEC	S Aux Verb O1 P O3                                	
15819	DEC	S Aux Verb O1                                     	
15820	DEC	S Aux Verb P O3 Adv                               	
15821	DEC	S Aux Verb P O3                                   	
15822	DEC	S Aux Verb                                        	
21652	DEC	P O3 Aux Never Verb O1 O2 Adv S                   	
21654	DEC	P O3 Aux Never Verb O1 O2 S                       	
21656	DEC	P O3 Aux Never Verb O1 Adv S                      	
21658	DEC	P O3 Aux Never Verb O1 S                          	
21660	DEC	P O3 Aux Never Verb Adv S                         	
21662	DEC	P O3 Aux Never Verb S                             	
21664	DEC	P O3 Aux Not Verb O1 O2 Adv S                     	
21666	DEC	P O3 Aux Not Verb O1 O2 S                         	
21668	DEC	P O3 Aux Not Verb O1 Adv S                        	
21670	DEC	P O3 Aux Not Verb O1 S                            	
21672	DEC	P O3 Aux Not Verb Adv S                           	
21674	DEC	P O3 Aux Not Verb S                               	
21676	DEC	P O3 Aux Verb O1 O2 Adv S                         	
21678	DEC	P O3 Aux Verb O1 O2 S                             	
21680	DEC	P O3 Aux Verb O1 Adv S                            	
21682	DEC	P O3 Aux Verb O1 S                                	
21684	DEC	P O3 Aux Verb Adv S                               	
21686	DEC	P O3 Aux Verb S                                   	
23572	IMP	Never Verb Adv                                    	
23573	IMP	Never Verb O1 Adv                                 	
23574	IMP	Never Verb O1 O2 Adv                              	
23575	IMP	Never Verb O1 O2 P O3 Adv                         	
23576	IMP	Never Verb O1 O2 P O3                             	
23577	IMP	Never Verb O1 O2                                  	
23578	IMP	Never Verb O1 P O3 Adv                            	
23579	IMP	Never Verb O1 P O3                                	
23580	IMP	Never Verb O1                                     	
23581	IMP	Never Verb P O3 Adv                               	
23582	IMP	Never Verb P O3                                   	
23583	IMP	Never Verb                                        	
23584	IMP	Not Verb Adv                                      	
23585	IMP	Not Verb O1 Adv                                   	
