BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
2976	DEC	Adv[+WA] O1 Verb Not Aux S                        	
2978	DEC	Adv[+WA] O2 O1 Verb Not Aux S                     	
2980	DEC	Adv[+WA] O3 P O1 Verb Not Aux S                   	
2982	DEC	Adv[+WA] O3 P O2 O1 Verb Not Aux S                	
2984	DEC	Adv[+WA] O3 P Verb Not Aux S                      	
2986	DEC	Adv[+WA] Verb Not Aux S                           	
2988	DEC	Adv[+WA] O1 Verb Never Aux S                      	
2990	DEC	Adv[+WA] O2 O1 Verb Never Aux S                   	
2992	DEC	Adv[+WA] O3 P O1 Verb Never Aux S                 	
2994	DEC	Adv[+WA] O3 P O2 O1 Verb Never Aux S              	
2996	DEC	Adv[+WA] O3 P Verb Never Aux S                    	
2998	DEC	Adv[+WA] Verb Never Aux S                         	
3048	DEC	Adv[+WA] O1 Verb Aux S                            	
3050	DEC	Adv[+WA] O2 O1 Verb Aux S                         	
3052	DEC	Adv[+WA] O3 P O1 Verb Aux S                       	
3054	DEC	Adv[+WA] O3 P O2 O1 Verb Aux S                    	
3056	DEC	Adv[+WA] O3 P Verb Aux S                          	
3058	DEC	Adv[+WA] Verb Aux S                               	
7328	DEC	O1[+WA] Adv Verb Not Aux S                        	
7330	DEC	O1[+WA] Adv O2 Verb Not Aux S                     	
7332	DEC	O1[+WA] Adv O3 P Verb Not Aux S                   	
7334	DEC	O1[+WA] Adv O3 P O2 Verb Not Aux S                	
7336	DEC	O1[+WA] Verb Not Aux S                            	
7338	DEC	O1[+WA] O2 Verb Not Aux S                         	
7340	DEC	O1[+WA] O3 P Verb Not Aux S                       	
7342	DEC	O1[+WA] O3 P O2 Verb Not Aux S                    	
7344	DEC	O1[+WA] Adv Verb Never Aux S                      	
7346	DEC	O1[+WA] Adv O2 Verb Never Aux S                   	
7348	DEC	O1[+WA] Adv O3 P Verb Never Aux S                 	
7350	DEC	O1[+WA] Adv O3 P O2 Verb Never Aux S              	
7352	DEC	O1[+WA] Verb Never Aux S                          	
7354	DEC	O1[+WA] O2 Verb Never Aux S                       	
7356	DEC	O1[+WA] O3 P Verb Never Aux S                     	
7358	DEC	O1[+WA] O3 P O2 Verb Never Aux S                  	
7424	DEC	O1[+WA] Adv Verb Aux S                            	
7426	DEC	O1[+WA] Adv O2 Verb Aux S                         	
7428	DEC	O1[+WA] Adv O3 P Verb Aux S                       	
7430	DEC	O1[+WA] Adv O3 P O2 Verb Aux S                    	
7432	DEC	O1[+WA] Verb Aux S                                	
7434	DEC	O1[+WA] O2 Verb Aux S                             	
7436	DEC	O1[+WA] O3 P Verb Aux S                           	
7438	DEC	O1[+WA] O3 P O2 Verb Aux S                        	
9824	DEC	O2[+WA] Adv O1 Verb Not Aux S                     	
9826	DEC	O2[+WA] Adv O3 P O1 Verb Not Aux S                	
9828	DEC	O2[+WA] O1 Verb Not Aux S                         	
9830	DEC	O2[+WA] O3 P O1 Verb Not Aux S                    	
9832	DEC	O2[+WA] Adv O1 Verb Never Aux S                   	
9834	DEC	O2[+WA] Adv O3 P O1 Verb Never Aux S              	
9836	DEC	O2[+WA] O1 Verb Never Aux S                       	
9838	DEC	O2[+WA] O3 P O1 Verb Never Aux S                  	
9872	DEC	O2[+WA] Adv O1 Verb Aux S                         	
9874	DEC	O2[+WA] Adv O3 P O1 Verb Aux S                    	
9876	DEC	O2[+WA] O1 Verb Aux S                             	
9878	DEC	O2[+WA] O3 P O1 Verb Aux S                        	
13056	DEC	O3[+WA] Adv P O1 Verb Not Aux S                   	
13058	DEC	O3[+WA] Adv P O2 O1 Verb Not Aux S                	
13060	DEC	O3[+WA] Adv P Verb Not Aux S                      	
13062	DEC	O3[+WA] P O1 Verb Not Aux S                       	
13064	DEC	O3[+WA] P O2 O1 Verb Not Aux S                    	
13066	DEC	O3[+WA] P Verb Not Aux S                          	
13068	DEC	O3[+WA] Adv P O1 Verb Never Aux S                 	
13070	DEC	O3[+WA] Adv P O2 O1 Verb Never Aux S              	
